Treatment,Rep,Dpi,Cq,Exp
B. subtilis,1,SL-14,28.1,2
B. subtilis,2,SL-14,28.46,2
B. subtilis,3,SL-14,28.25,2
P. fluorescens,1,IL-1,23.44,3
P. fluorescens,2,IL-1,23.63,3
P. fluorescens,3,IL-1,23.76,3
S. marcescens,1,IL-1,25.61,3
S. marcescens,2,IL-1,25.78,3
S. marcescens,3,IL-1,25.74,3
B. subtilis,1,IL-1,26.51,3
B. subtilis,2,IL-1,26.48,3
B. subtilis,3,IL-1,26.44,3
P. fluorescens,1,IL-4,21.55,3
P. fluorescens,2,IL-4,21.52,3
P. fluorescens,3,IL-4,21.62,3
S. marcescens,1,IL-4,19.42,3
S. marcescens,2,IL-4,19.27,3
S. marcescens,3,IL-4,19.3,3
B. subtilis,1,IL-4,17.72,3
B. subtilis,2,IL-4,17.67,3
B. subtilis,3,IL-4,17.78,3
P. fluorescens,1,IL-7,15.95,3
P. fluorescens,2,IL-7,15.61,3
P. fluorescens,3,IL-7,15.75,3
S. marcescens,1,IL-7,17.91,3
S. marcescens,2,IL-7,18.01,3
S. marcescens,3,IL-7,17.91,3
B. subtilis,1,IL-7,12.76,3
B. subtilis,2,IL-7,12.87,3
B. subtilis,3,IL-7,12.71,3
P. fluorescens,1,IL-10,14.53,3
P. fluorescens,2,IL-10,14.91,3
P. fluorescens,3,IL-10,14.54,3
S. marcescens,1,IL-10,11.24,3
S. marcescens,2,IL-10,11.29,3
S. marcescens,3,IL-10,11.19,3
B. subtilis,1,IL-10,12.07,3
B. subtilis,2,IL-10,12.06,3
B. subtilis,3,IL-10,11.89,3
P. fluorescens,1,SL-7,28.2,3
P. fluorescens,2,SL-7,28.28,3
P. fluorescens,3,SL-7,28.14,3
S. marcescens,1,SL-7,26.63,3
S. marcescens,2,SL-7,26.41,3
S. marcescens,3,SL-7,26.59,3
B. subtilis,1,SL-7,26.44,3
B. subtilis,2,SL-7,26.62,3
B. subtilis,3,SL-7,27.02,3
P. fluorescens,1,SL-10,27.72,3
P. fluorescens,2,SL-10,28.04,3
P. fluorescens,3,SL-10,28.13,3
S. marcescens,1,SL-10,26.72,3
S. marcescens,2,SL-10,26.87,3
S. marcescens,3,SL-10,26.42,3
B. subtilis,1,SL-10,26.76,3
B. subtilis,2,SL-10,26.69,3
B. subtilis,3,SL-10,26.87,3
Control,1,IL-1,21.36,3
Control,2,IL-1,21.22,3
Control,3,IL-1,21.31,3
Control,1,IL-4,16.23,3
Control,2,IL-4,16.23,3
Control,3,IL-4,16.28,3
Control,1,IL-7,12.12,3
Control,2,IL-7,12.27,3
Control,3,IL-7,12.26,3
Control,1,IL-10,10.68,3
Control,2,IL-10,10.83,3
Control,3,IL-10,10.83,3
Control,1,SL-7,24.92,3
Control,2,SL-7,24.6,3
Control,3,SL-7,25.06,3
Control,1,SL-10,19.42,3
Control,2,SL-10,19.39,3
Control,3,SL-10,19.45,3
P. fluorescens,1,SL-14,28.48,3
P. fluorescens,2,SL-14,28.37,3
P. fluorescens,3,SL-14,28.24,3
S. marcescens,1,SL-14,12.5,3
S. marcescens,2,SL-14,12.68,3
S. marcescens,3,SL-14,12.68,3
B. subtilis,1,SL-14,15.16,3
B. subtilis,2,SL-14,15.15,3
B. subtilis,3,SL-14,15.17,3
Control,1,SL-14,11.86,3
Control,2,SL-14,11.86,3
Control,3,SL-14,11.96,3
