Dpi,Rep,Cq
IL-1,1,18.90
IL-1,2,19.05
IL-1,3,18.94
IL-4,1,13.17
IL-4,2,13.25
IL-4,3,13.31
IL-7,1,12.12
IL-7,2,11.87
IL-7,3,12.13
IL-10,1,12.72
IL-10,2,13.10
IL-10,3,13.08
SL-7,1,28.62
SL-7,2,29.18
SL-7,3,29.22
SL-10,1,13.17
SL-10,2,13.24
SL-10,3,13.19
SL-14,1,12.76
SL-14,2,13.07
SL-14,3,12.90
