Dpi,Rep,Cq
IL-1,1,25.12
IL-1,2,25.00
IL-1,3,24.86
IL-4,1,23.63
IL-4,2,24.27
IL-4,3,23.61
IL-7,1,24.44
IL-7,2,24.67
IL-7,3,24.20
IL-10,1,21.48
IL-10,2,22.13
IL-10,3,21.71
SL-7,1,25.34
SL-7,2,25.20
SL-7,3,25.32
SL-10,1,27.09
SL-10,2,27.18
SL-10,3,26.96
SL-14,1,20.90
SL-14,2,20.89
SL-14,3,20.40
