Dpi,Rep,Cq
IL-1,1,21.89
IL-1,2,22.00
IL-1,3,22.09
IL-4,1,22.72
IL-4,2,22.68
IL-4,3,22.59
IL-7,1,22.49
IL-7,2,22.45
IL-7,3,22.50
IL-10,1,22.28
IL-10,2,22.31
IL-10,3,22.42
SL-7,1,27.88
SL-7,2,28.06
SL-7,3,27.88
SL-10,1,26.03
SL-10,2,26.02
SL-10,3,25.89
SL-14,1,28.70
SL-14,2,28.71
SL-14,3,28.89
