Dpi,Rep,Cq
IL-1,1,27.01
IL-1,2,27.14
IL-1,3,26.89
IL-4,1,18.82
IL-4,2,18.08
IL-4,3,18.08
IL-7,1,15.97
IL-7,2,16.41
IL-7,3,16.01
IL-10,1,16.02
IL-10,2,16.07
IL-10,3,16.01
SL-7,1,28.93
SL-7,2,29.01
SL-7,3,28.75
SL-10,1,28.23
SL-10,2,28.16
SL-10,3,28.18
