Dpi,Rep,Cq
IL-1,1,28.46
IL-1,2,28.40
IL-1,3,28.51
IL-4,1,25.87
IL-4,2,26.04
IL-4,3,25.96
IL-7,1,31.05
IL-7,2,30.88
IL-7,3,30.89
IL-10,1,22.41
IL-10,2,22.60
IL-10,3,22.46
SL-7,1,31.06
SL-7,2,31.05
SL-7,3,31.19
SL-10,1,30.93
SL-10,2,31.07
SL-10,3,31.18
SL-14,1,26.07
SL-14,2,26.21
SL-14,3,26.09
