Dpi,Rep,Cq
IL-1,1,24.33
IL-1,2,24.33
IL-1,3,24.40
IL-4,1,21.71
IL-4,2,21.79
IL-4,3,21.77
IL-7,1,22.54
IL-7,2,22.52
IL-7,3,22.46
IL-10,1,16.53
IL-10,2,16.46
IL-10,3,16.37
SL-7,1,29.11
SL-7,2,28.96
SL-7,3,28.97
SL-10,1,31.20
SL-10,2,31.32
SL-10,3,31.20
SL-14,1,20.83
SL-14,2,21.05
SL-14,3,21.12
