Dpi,Rep,Cq
IL-1,1,20.46
IL-1,2,20.52
IL-1,3,20.19
IL-4,1,18.40
IL-4,2,18.19
IL-4,3,18.32
IL-7,1,16.97
IL-7,2,16.97
IL-7,3,16.91
IL-10,1,17.03
IL-10,2,16.65
IL-10,3,16.73
SL-7,1,26.55
SL-7,2,26.47
SL-7,3,26.63
SL-10,1,27.42
SL-10,2,27.29
SL-10,3,27.44
