Dpi,Rep,Cq
IL-1,1,30.98
IL-1,2,31.17
IL-1,3,31.21
IL-4,1,23.20
IL-4,2,23.24
IL-4,3,24.06
IL-7,1,21.49
IL-7,2,21.32
IL-7,3,23.78
IL-10,1,21.77
IL-10,2,21.92
IL-10,3,22.07
SL-7,1,31.70
SL-7,2,31.25
SL-7,3,31.43
SL-10,1,31.04
SL-10,2,31.22
SL-10,3,31.26
