Dpi,Rep,Cq
IL-1,1,24.53
IL-1,2,24.67
IL-1,3,24.68
IL-4,1,14.24
IL-4,2,14.24
IL-4,3,14.34
IL-7,1,12.47
IL-7,2,13.71
IL-7,3,12.60
IL-10,1,12.78
IL-10,2,12.89
IL-10,3,12.77
SL-7,1,25.49
SL-7,2,25.56
SL-7,3,25.41
SL-10,1,23.92
SL-10,2,23.57
SL-10,3,23.45
