Dpi,Rep,Cq
IL-1,1,27.04
IL-1,2,27.04
IL-1,3,27.01
IL-4,1,21.50
IL-4,2,21.28
IL-4,3,20.89
IL-7,1,20.30
IL-7,2,20.18
IL-7,3,20.19
IL-10,1,19.95
IL-10,2,20.77
IL-10,3,21.23
SL-7,1,33.76
SL-7,2,33.85
SL-7,3,33.06
SL-10,1,21.25
SL-10,2,21.07
SL-10,3,20.99
SL-14,1,21.41
SL-14,2,21.28
SL-14,3,21.37
