Dpi,Rep,Cq
IL-1,1,22.53
IL-1,2,22.48
IL-1,3,22.59
IL-4,1,23.44
IL-4,2,23.35
IL-4,3,23.26
IL-7,1,23.12
IL-7,2,23.11
IL-7,3,23.15
IL-10,1,22.96
IL-10,2,22.90
IL-10,3,22.79
SL-7,1,29.00
SL-7,2,28.38
SL-7,3,28.40
SL-10,1,26.40
SL-10,2,26.65
SL-10,3,26.52
SL-14,1,29.47
SL-14,2,29.38
SL-14,3,29.81
