Dpi,Rep,Cq
IL-1,1,21.72441458
IL-1,2,21.79197387
IL-1,3,21.71467516
IL-4,1,17.74705246
IL-4,2,17.62921443
IL-4,3,17.69117043
IL-7,1,26.43898995
IL-7,2,27.17770952
IL-7,3,26.33686009
IL-10,1,13.79287149
IL-10,2,13.91675622
IL-10,3,14.01731562
SL-7,1,28.90911604
SL-7,2,28.18192708
SL-7,3,29.13739774
SL-10,1,27.58735255
SL-10,2,27.24930873
SL-10,3,27.37479755
SL-14,1,17.54658912
SL-14,2,17.70722593
SL-14,3,17.52894888
