PGPR,Dpi,Rep,Gene,Cq
Control,4,3,OPR3,34.02
P. fluorescens,7,1,OPR3,33.82
P. fluorescens,7,2,OPR3,35.23
P. fluorescens,7,3,OPR3,35.26
S. marcescens,7,1,OPR3,34.90
S. marcescens,7,2,OPR3,34.45
S. marcescens,7,3,OPR3,34.30
B. subtilis,7,1,OPR3,35.12
B. subtilis,7,2,OPR3,34.76
B. subtilis,7,3,OPR3,34.51
Control,7,1,OPR3,31.44
Control,7,2,OPR3,34.18
Control,7,3,OPR3,35.17
P. fluorescens,10,1,OPR3,34.96
P. fluorescens,10,2,OPR3,34.64
P. fluorescens,10,3,OPR3,34.09
S. marcescens,10,1,OPR3,35.49
S. marcescens,10,2,OPR3,34.63
S. marcescens,10,3,OPR3,35.46
B. subtilis,10,1,OPR3,35.08
B. subtilis,10,2,OPR3,35.41
B. subtilis,10,3,OPR3,34.17
Control,10,1,OPR3,33.56
Control,10,2,OPR3,34.92
Control,10,3,OPR3,33.04
P. fluorescens,1,1,PDF1.2,24.37
P. fluorescens,1,2,PDF1.2,24.52
P. fluorescens,1,3,PDF1.2,24.60
S. marcescens,1,1,PDF1.2,24.57
S. marcescens,1,2,PDF1.2,24.59
S. marcescens,1,3,PDF1.2,24.47
B. subtilis,1,1,PDF1.2,23.59
B. subtilis,1,2,PDF1.2,23.80
B. subtilis,1,3,PDF1.2,23.51
Control,1,1,PDF1.2,24.14
Control,1,2,PDF1.2,24.25
Control,1,3,PDF1.2,24.20
P. fluorescens,4,1,PDF1.2,24.28
P. fluorescens,4,2,PDF1.2,24.29
P. fluorescens,4,3,PDF1.2,24.34
S. marcescens,4,1,PDF1.2,22.41
S. marcescens,4,2,PDF1.2,22.52
S. marcescens,4,3,PDF1.2,22.74
B. subtilis,4,1,PDF1.2,24.02
B. subtilis,4,2,PDF1.2,23.93
B. subtilis,4,3,PDF1.2,24.03
Control,4,1,PDF1.2,23.47
Control,4,2,PDF1.2,23.68
Control,4,3,PDF1.2,23.85
P. fluorescens,7,1,PDF1.2,24.08
P. fluorescens,7,2,PDF1.2,24.05
P. fluorescens,7,3,PDF1.2,24.15
S. marcescens,7,1,PDF1.2,23.63
S. marcescens,7,2,PDF1.2,23.70
S. marcescens,7,3,PDF1.2,23.57
B. subtilis,7,1,PDF1.2,24.01
B. subtilis,7,2,PDF1.2,24.14
B. subtilis,7,3,PDF1.2,24.09
Control,7,1,PDF1.2,23.32
Control,7,2,PDF1.2,23.24
Control,7,3,PDF1.2,23.47
P. fluorescens,10,1,PDF1.2,24.78
P. fluorescens,10,2,PDF1.2,24.62
P. fluorescens,10,3,PDF1.2,24.86
S. marcescens,10,1,PDF1.2,23.95
S. marcescens,10,2,PDF1.2,24.09
S. marcescens,10,3,PDF1.2,23.71
B. subtilis,10,1,PDF1.2,24.14
B. subtilis,10,2,PDF1.2,24.28
