Dpi,Rep,Cq
IL-1,1,19.38
IL-1,2,19.06
IL-1,3,19.17
IL-4,1,8.59
IL-4,2,8.26
IL-4,3,8.39
IL-7,1,6.11
IL-7,2,6.17
IL-7,3,6.02
IL-10,1,6.13
IL-10,2,6.11
IL-10,3,6.37
SL-7,1,19.76
SL-7,2,19.97
SL-7,3,20.09
SL-10,1,19.14
SL-10,2,19.19
SL-10,3,19.80
