Dpi,Rep,Cq
IL-1,1,26.17
IL-1,2,26.59
IL-1,3,26.62
IL-4,1,23.05
IL-4,2,23.24
IL-4,3,23.07
IL-7,1,21.83
IL-7,2,21.78
IL-7,3,22.61
IL-10,1,20.54
IL-10,2,21.44
IL-10,3,22.06
SL-7,1,30.91
SL-7,2,32.89
SL-7,3,33.18
SL-10,1,30.72
SL-10,2,33.16
SL-10,3,32.34
