Dpi,Rep,Cq
IL-1,1,25.39
IL-1,2,25.54
IL-1,3,25.34
IL-4,1,22.26
IL-4,2,22.31
IL-4,3,22.45
IL-7,1,21.49
IL-7,2,21.33
IL-7,3,20.68
IL-10,1,19.81
IL-10,2,19.99
IL-10,3,19.94
SL-7,1,30.74
SL-7,2,30.52
SL-7,3,30.47
SL-10,1,31.06
SL-10,2,31.03
SL-10,3,31.53
