Dpi,Rep,Cq
IL-1,1,21.67
IL-1,2,21.64
IL-1,3,21.76
IL-4,1,20.59
IL-4,2,20.78
IL-4,3,20.68
IL-7,1,20.55
IL-7,2,20.45
IL-7,3,20.85
IL-10,1,20.16
IL-10,2,20.17
IL-10,3,20.17
SL-7,1,29.91
SL-7,2,30.33
SL-7,3,30.54
SL-10,1,27.02
SL-10,2,27.15
SL-10,3,27.39
SL-14,1,25.70
SL-14,2,25.14
SL-14,3,25.44
