Dpi,Rep,Cq
IL-1,1,23.18
IL-1,2,23.28
IL-1,3,23.34
IL-4,1,21.99
IL-4,2,20.61
IL-4,3,22.01
IL-7,1,21.38
IL-7,2,21.25
IL-7,3,21.44
IL-10,1,15.37
IL-10,2,15.28
IL-10,3,18.56
SL-7,1,27.49
SL-7,2,27.78
SL-7,3,27.75
SL-10,1,29.62
SL-10,2,29.76
SL-10,3,30.11
SL-14,1,20.02
SL-14,2,19.93
SL-14,3,19.98
