Dpi,Rep,Cq
IL-1,1,22.72
IL-1,2,22.61
IL-1,3,22.78
IL-4,1,21.66
IL-4,2,21.65
IL-4,3,21.56
IL-7,1,21.27
IL-7,2,21.76
IL-7,3,21.56
IL-10,1,21.22
IL-10,2,21.25
IL-10,3,21.08
SL-7,1,30.87
SL-7,2,31.54
SL-7,3,31.33
SL-10,1,28.12
SL-10,2,28.28
SL-10,3,28.07
SL-14,1,26.26
SL-14,2,26.34
SL-14,3,26.53
