Treatment,Rep,Dpi,Cq
S. marcescens,5,SL-14,25.24
S. marcescens,6,SL-14,25.26
B. subtilis,4,SL-14,12.61
B. subtilis,5,SL-14,12.07
B. subtilis,6,SL-14,12.38
Control,4,SL-14,12.31
Control,5,SL-14,12.17
Control,6,SL-14,12.15
P. fluorescens,7,IL-1,20.44
P. fluorescens,8,IL-1,20.56
P. fluorescens,9,IL-1,20.7
S. marcescens,7,IL-1,19.59
S. marcescens,8,IL-1,19.68
S. marcescens,9,IL-1,19.87
B. subtilis,7,IL-1,18.09
B. subtilis,8,IL-1,18.04
B. subtilis,9,IL-1,18.14
P. fluorescens,7,IL-4,23.54
P. fluorescens,8,IL-4,23.59
P. fluorescens,9,IL-4,23.61
S. marcescens,7,IL-4,19.74
S. marcescens,8,IL-4,19.87
S. marcescens,9,IL-4,19.63
B. subtilis,7,IL-4,13.45
B. subtilis,8,IL-4,13.83
B. subtilis,9,IL-4,13.72
P. fluorescens,7,IL-7,14.27
P. fluorescens,8,IL-7,14.12
P. fluorescens,9,IL-7,13.8
S. marcescens,7,IL-7,13.57
S. marcescens,8,IL-7,13.98
S. marcescens,9,IL-7,14.26
B. subtilis,7,IL-7,11.42
B. subtilis,8,IL-7,11.8
B. subtilis,9,IL-7,12.04
P. fluorescens,7,IL-10,12.65
P. fluorescens,8,IL-10,12.63
P. fluorescens,9,IL-10,12.6
S. marcescens,7,IL-10,12.13
S. marcescens,8,IL-10,12.54
S. marcescens,9,IL-10,11.62
B. subtilis,7,IL-10,10.8
B. subtilis,8,IL-10,11.04
B. subtilis,9,IL-10,11.21
P. fluorescens,7,SL-7,14.61
P. fluorescens,8,SL-7,14.77
P. fluorescens,9,SL-7,14.97
S. marcescens,7,SL-7,18.45
S. marcescens,8,SL-7,18.56
S. marcescens,9,SL-7,18.56
B. subtilis,7,SL-7,13.2
B. subtilis,8,SL-7,13.19
B. subtilis,9,SL-7,12.73
P. fluorescens,7,SL-10,23.77
P. fluorescens,8,SL-10,23.8
P. fluorescens,9,SL-10,23.51
S. marcescens,7,SL-10,15.3
S. marcescens,8,SL-10,15.61
S. marcescens,9,SL-10,15.8
B. subtilis,7,SL-10,14.46
B. subtilis,8,SL-10,14.44
B. subtilis,9,SL-10,14.71
Control,7,IL-1,17.09
Control,8,IL-1,17.52
Control,9,IL-1,17.33
Control,7,IL-4,18.59
Control,8,IL-4,18.86
Control,9,IL-4,18.61
Control,7,IL-7,11.3
Control,8,IL-7,11.62
Control,9,IL-7,11.34
Control,7,IL-10,10.57
Control,8,IL-10,10.91
Control,9,IL-10,10.93
Control,7,SL-7,11.96
Control,8,SL-7,12.42
Control,9,SL-7,12.38
Control,7,SL-10,14.71
Control,8,SL-10,14.62
Control,9,SL-10,14.22
P. fluorescens,7,SL-14,13.31
