PGPR,Dpi,Rep,Gene,Cq
Control,4,3,OPR3,25.64
P. fluorescens,7,1,OPR3,25.39
P. fluorescens,7,2,OPR3,25.30
P. fluorescens,7,3,OPR3,25.27
S. marcescens,7,1,OPR3,25.18
S. marcescens,7,2,OPR3,24.98
S. marcescens,7,3,OPR3,25.17
B. subtilis,7,1,OPR3,24.80
B. subtilis,7,2,OPR3,24.62
B. subtilis,7,3,OPR3,24.70
Control,7,1,OPR3,25.58
Control,7,2,OPR3,25.17
Control,7,3,OPR3,25.20
P. fluorescens,10,1,OPR3,25.73
P. fluorescens,10,2,OPR3,25.67
P. fluorescens,10,3,OPR3,25.49
S. marcescens,10,1,OPR3,24.93
S. marcescens,10,2,OPR3,25.07
S. marcescens,10,3,OPR3,25.02
B. subtilis,10,1,OPR3,24.70
B. subtilis,10,2,OPR3,24.70
B. subtilis,10,3,OPR3,24.72
Control,10,1,OPR3,26.07
Control,10,2,OPR3,26.13
Control,10,3,OPR3,26.11
P. fluorescens,1,1,PDF1.2,27.35
P. fluorescens,1,2,PDF1.2,27.21
P. fluorescens,1,3,PDF1.2,27.30
S. marcescens,1,1,PDF1.2,27.59
S. marcescens,1,2,PDF1.2,27.81
S. marcescens,1,3,PDF1.2,28.02
B. subtilis,1,1,PDF1.2,26.75
B. subtilis,1,2,PDF1.2,26.80
B. subtilis,1,3,PDF1.2,26.82
Control,1,1,PDF1.2,32.44
Control,1,2,PDF1.2,31.90
Control,1,3,PDF1.2,32.92
P. fluorescens,4,1,PDF1.2,29.32
P. fluorescens,4,2,PDF1.2,29.34
P. fluorescens,4,3,PDF1.2,29.36
S. marcescens,4,1,PDF1.2,27.14
S. marcescens,4,2,PDF1.2,27.27
S. marcescens,4,3,PDF1.2,27.45
B. subtilis,4,1,PDF1.2,27.72
B. subtilis,4,2,PDF1.2,27.59
B. subtilis,4,3,PDF1.2,27.49
Control,4,1,PDF1.2,27.60
Control,4,2,PDF1.2,27.62
Control,4,3,PDF1.2,27.68
P. fluorescens,7,1,PDF1.2,27.23
P. fluorescens,7,2,PDF1.2,27.30
P. fluorescens,7,3,PDF1.2,27.23
S. marcescens,7,1,PDF1.2,27.22
S. marcescens,7,2,PDF1.2,27.25
S. marcescens,7,3,PDF1.2,27.37
B. subtilis,7,1,PDF1.2,27.52
B. subtilis,7,2,PDF1.2,27.42
B. subtilis,7,3,PDF1.2,27.58
Control,7,1,PDF1.2,27.35
Control,7,2,PDF1.2,27.38
Control,7,3,PDF1.2,27.44
P. fluorescens,10,1,PDF1.2,30.53
P. fluorescens,10,2,PDF1.2,27.48
P. fluorescens,10,3,PDF1.2,27.54
S. marcescens,10,1,PDF1.2,27.18
S. marcescens,10,2,PDF1.2,27.09
S. marcescens,10,3,PDF1.2,27.35
B. subtilis,10,1,PDF1.2,27.12
B. subtilis,10,2,PDF1.2,27.26
B. subtilis,10,3,PDF1.2,27.38
Control,10,1,PDF1.2,28.15
Control,10,2,PDF1.2,28.12
Control,10,3,PDF1.2,28.47
P. fluorescens,1,1,RdR1,26.95
P. fluorescens,1,2,RdR1,26.96
P. fluorescens,1,3,RdR1,27.12
S. marcescens,1,1,RdR1,26.25
S. marcescens,1,2,RdR1,26.35
S. marcescens,1,3,RdR1,26.39
B. subtilis,1,1,RdR1,26.03
B. subtilis,1,2,RdR1,26.03
B. subtilis,1,3,RdR1,25.98
Control,1,1,RdR1,27.58
Control,1,2,RdR1,27.49
Control,1,3,RdR1,27.67
P. fluorescens,4,1,RdR1,26.86
P. fluorescens,4,2,RdR1,27.00
P. fluorescens,4,3,RdR1,27.41
S. marcescens,4,1,RdR1,25.92
S. marcescens,4,2,RdR1,25.99
S. marcescens,4,3,RdR1,26.09
B. subtilis,4,1,RdR1,25.21
B. subtilis,4,2,RdR1,25.26
B. subtilis,4,3,RdR1,25.14
Control,4,1,RdR1,25.59
Control,4,2,RdR1,25.48
Control,4,3,RdR1,25.38
P. fluorescens,7,1,RdR1,25.05
P. fluorescens,7,2,RdR1,25.01
P. fluorescens,7,3,RdR1,25.05
S. marcescens,7,1,RdR1,24.90
S. marcescens,7,2,RdR1,24.60
S. marcescens,7,3,RdR1,24.63
B. subtilis,7,1,RdR1,23.58
B. subtilis,7,2,RdR1,23.58
B. subtilis,7,3,RdR1,23.89
Control,7,1,RdR1,25.03
Control,7,2,RdR1,24.81
Control,7,3,RdR1,25.04
P. fluorescens,10,1,RdR1,24.65
P. fluorescens,10,2,RdR1,24.60
P. fluorescens,10,3,RdR1,24.60
S. marcescens,10,1,RdR1,25.21
S. marcescens,10,2,RdR1,25.29
S. marcescens,10,3,RdR1,25.22
B. subtilis,10,1,RdR1,25.63
B. subtilis,10,2,RdR1,25.56
B. subtilis,10,3,RdR1,25.65
Control,10,1,RdR1,26.49
Control,10,2,RdR1,26.51
Control,10,3,RdR1,26.50
